group,index,category,question,rewritten_question,baseline_hit,rewritten_hit,expected
unchanged,53,leave,Làm chưa đủ 12 tháng thì nghỉ phép được tính thế nào?,Quy định tính nghỉ phép khi làm việc chưa đủ 12 tháng.,True,True,113
unchanged,54,leave,Có được gộp ngày nghỉ phép nhiều năm không?,Quy định về gộp ngày nghỉ phép nhiều năm liên tiếp trong luật lao động?,True,True,113
unchanged,55,leave,Bao lâu thì được tăng thêm ngày nghỉ hằng năm?,Thời gian để được tăng thêm ngày nghỉ hằng năm là bao lâu?,False,False,114
unchanged,56,leave,Người lao động được nghỉ việc riêng khi nào?,Quy định về nghỉ việc riêng của người lao động khi nào?,True,True,115
unchanged,57,leave,Ông bà mất có được nghỉ làm không?,Quy định về nghỉ làm khi ông bà mất,True,True,115
unchanged,58,leave,Có được nghỉ không hưởng lương không?,Quy định về nghỉ không hưởng lương trong luật lao động?,True,True,115
unchanged,59,leave,Nghỉ phép năm có được hưởng nguyên lương không?,Quy định về hưởng nguyên lương khi nghỉ phép năm,True,True,113
unchanged,60,termination,Các trường hợp chấm dứt hợp đồng lao động là gì?,Các trường hợp chấm dứt hợp đồng lao động theo quy định pháp luật,True,True,34
unchanged,61,termination,Người lao động có quyền đơn phương chấm dứt hợp đồng không?,Quyền đơn phương chấm dứt hợp đồng của người lao động,True,True,35
unchanged,62,termination,Người lao động phải báo trước bao lâu khi nghỉ việc?,Thời gian báo trước khi người lao động nghỉ việc theo quy định pháp luật là bao lâu?,False,False,35
unchanged,63,termination,Khi nào người lao động được nghỉ việc không cần báo trước?,Điều kiện nghỉ việc không báo trước của người lao động,False,False,35
unchanged,64,termination,Người sử dụng lao động được đơn phương chấm dứt hợp đồng khi nào?,Điều kiện đơn phương chấm dứt hợp đồng lao động của người sử dụng lao động,True,True,36
unchanged,65,termination,Khi nào người sử dụng lao động không được đơn phương chấm dứt hợp đồng?,Trường hợp người sử dụng lao động không được đơn phương chấm dứt hợp đồng lao động.,True,True,37
unchanged,67,termination,Người lao động được trợ cấp thôi việc khi nào?,Điều kiện người lao động được hưởng trợ cấp thôi việc,True,True,46
unchanged,68,termination,Trợ cấp mất việc làm được quy định như thế nào?,Quy định về trợ cấp mất việc làm,True,True,47
unchanged,69,termination,Sau khi nghỉ việc công ty phải thanh toán trong bao lâu?,Thời hạn công ty phải thanh toán sau khi người lao động nghỉ việc là bao lâu?,True,True,48
unchanged,70,discipline,Kỷ luật lao động là gì?,Khái niệm kỷ luật lao động trong pháp luật lao động,False,False,117
unchanged,71,discipline,Nội quy lao động phải có những nội dung gì?,Nội dung bắt buộc trong nội quy lao động gồm những gì?,True,True,118
unchanged,72,discipline,Nguyên tắc xử lý kỷ luật lao động là gì?,Nguyên tắc xử lý kỷ luật lao động theo pháp luật hiện hành,True,True,122
unchanged,73,discipline,Thời hiệu xử lý kỷ luật lao động là bao lâu?,Thời hiệu xử lý kỷ luật lao động theo quy định pháp luật là bao lâu?,True,True,123
unchanged,74,discipline,Có những hình thức kỷ luật lao động nào?,Các hình thức kỷ luật lao động hiện hành gồm những loại nào?,True,True,124
unchanged,75,discipline,Khi nào người lao động bị sa thải?,Điều kiện sa thải người lao động theo pháp luật lao động hiện hành?,True,True,125
unchanged,76,discipline,Có được xử lý kỷ luật lao động đối với người đang nghỉ ốm không?,Xử lý kỷ luật lao động với người đang nghỉ ốm có được không?,True,True,122
unchanged,77,discipline,Sa thải là một hình thức kỷ luật lao động đúng không?,Sa thải có phải là hình thức kỷ luật lao động không?,True,True,124
unchanged,78,discipline,Người lao động có quyền tự bào chữa khi bị xử lý kỷ luật không?,Quyền tự bào chữa của người lao động khi bị xử lý kỷ luật,True,True,122
unchanged,79,discipline,Có được xử lý nhiều hình thức kỷ luật cùng lúc không?,Xử lý đồng thời nhiều hình thức kỷ luật có được không?,True,True,122
unchanged,80,unknown,Người lao động nước ngoài làm việc tại Việt Nam phải đáp ứng điều kiện gì?,Điều kiện làm việc tại Việt Nam của người lao động nước ngoài,True,True,151
unchanged,81,unknown,Khi nào người nước ngoài được tuyển dụng vào Việt Nam?,Điều kiện tuyển dụng người nước ngoài làm việc tại Việt Nam?,True,True,152
unchanged,82,unknown,Giấy phép lao động có thời hạn bao lâu?,Thời hạn của giấy phép lao động là bao lâu?,False,False,155
unchanged,83,unknown,Trường hợp nào không cần giấy phép lao động?,Trường hợp miễn giấy phép lao động theo quy định pháp luật.,True,True,154
unchanged,84,unknown,Khi nào giấy phép lao động bị thu hồi?,Điều kiện thu hồi giấy phép lao động,True,True,156
unchanged,85,unknown,Đối thoại tại nơi làm việc là gì?,Định nghĩa đối thoại tại nơi làm việc trong pháp luật lao động,True,True,63
unchanged,86,unknown,Bao lâu phải tổ chức đối thoại tại nơi làm việc?,Thời gian tổ chức đối thoại tại nơi làm việc theo quy định pháp luật.,True,True,63
unchanged,87,unknown,Thương lượng tập thể là gì?,Định nghĩa thương lượng tập thể trong pháp luật lao động,False,False,65
unchanged,88,unknown,Nguyên tắc thương lượng tập thể gồm những gì?,Nguyên tắc thương lượng tập thể gồm những nội dung nào?,False,False,66
unchanged,89,unknown,Ai có quyền yêu cầu thương lượng tập thể?,Quyền yêu cầu thương lượng tập thể thuộc về ai?,True,True,68
unchanged,90,unknown,Thỏa ước lao động tập thể là gì?,Định nghĩa thỏa ước lao động tập thể trong pháp luật lao động,True,True,75
unchanged,91,unknown,Thỏa ước lao động tập thể có hiệu lực khi nào?,Thời điểm hiệu lực của thỏa ước lao động tập thể,True,True,78
unchanged,92,unknown,Thời hạn của thỏa ước lao động tập thể là bao lâu?,Thời hạn hiệu lực của thỏa ước lao động tập thể là bao lâu?,False,False,83
unchanged,93,unknown,Có được sửa đổi thỏa ước lao động tập thể không?,Điều kiện và quy định sửa đổi thỏa ước lao động tập thể?,False,False,84
unchanged,94,unknown,Khi nào thỏa ước lao động tập thể hết hiệu lực?,Thời điểm thỏa ước lao động tập thể hết hiệu lực,True,True,86
unchanged,95,unknown,Tranh chấp lao động là gì?,Khái niệm tranh chấp lao động trong pháp luật lao động Việt Nam,True,True,179
unchanged,96,unknown,Tranh chấp lao động cá nhân là gì?,Khái niệm tranh chấp lao động cá nhân,True,True,179
unchanged,97,unknown,Tranh chấp lao động tập thể là gì?,Khái niệm tranh chấp lao động tập thể,True,True,179
unchanged,98,unknown,Ai có thẩm quyền hòa giải tranh chấp lao động?,Thẩm quyền hòa giải tranh chấp lao động là ai?,False,False,185
unchanged,99,unknown,Khi nào được yêu cầu Tòa án giải quyết tranh chấp lao động?,Điều kiện yêu cầu Tòa án giải quyết tranh chấp lao động?,False,False,188
unchanged,100,unknown,Đình công là gì?,Định nghĩa và quy định pháp luật về đình công,False,False,198
unchanged,101,unknown,Ai có quyền tổ chức đình công?,Quyền tổ chức đình công thuộc về ai?,False,False,200
unchanged,102,unknown,Trường hợp nào đình công là bất hợp pháp?,Điều kiện xác định đình công bất hợp pháp theo pháp luật hiện hành,True,True,204
unchanged,103,unknown,Khi nào được hoãn đình công?,Điều kiện hoãn đình công theo pháp luật hiện hành,True,True,210
unchanged,104,unknown,Người lao động tham gia đình công có bị xử lý không?,Xử lý pháp lý đối với người lao động tham gia đình công.,True,True,207
unchanged,105,unknown,Người lao động có quyền từ chối làm việc khi nào?,Quyền từ chối làm việc của người lao động trong trường hợp nào?,False,False,6
unchanged,106,unknown,Người sử dụng lao động phải bảo đảm điều gì về an toàn lao động?,Người sử dụng lao động phải bảo đảm những yêu cầu gì về an toàn lao động?,False,False,6
unchanged,107,unknown,Người lao động phải tuân thủ quy định an toàn như thế nào?,Quy định an toàn lao động người lao động phải tuân thủ như thế nào?,False,False,6
unchanged,108,unknown,Có được ép người lao động làm việc khi mất an toàn không?,Ép người lao động làm việc trong điều kiện mất an toàn có vi phạm pháp luật lao động không?,False,False,6
unchanged,109,unknown,Người lao động có quyền rời khỏi nơi làm việc khi nguy hiểm không?,Quyền rời khỏi nơi làm việc khi có nguy hiểm của người lao động.,False,False,6
unchanged,110,unknown,Làm chưa đủ một năm thì nghỉ phép tính sao?,Tính nghỉ phép khi làm việc chưa đủ một năm như thế nào?,True,True,113
unchanged,111,unknown,Đi làm ngày lễ thì tiền lương tính thế nào?,Tiền lương làm việc vào ngày lễ được tính như thế nào?,True,True,98
unchanged,112,unknown,Công ty bắt thử việc ba tháng có đúng luật không?,Thời gian thử việc tối đa cho công ty theo luật lao động là bao lâu?,True,True,25
unchanged,113,unknown,Muốn nghỉ ngang thì có phải báo trước không?,Quy định về việc báo trước khi nghỉ ngang trong luật lao động?,False,False,35
unchanged,115,unknown,Nếu nghỉ việc thì công ty phải thanh toán tiền trong bao lâu?,Thời hạn công ty thanh toán tiền khi người lao động nghỉ việc là bao lâu?,True,True,48
unchanged,116,unknown,Mình có được ký nhiều hợp đồng lao động cùng lúc không?,Quy định về việc ký nhiều hợp đồng lao động cùng lúc.,True,True,19
unchanged,117,unknown,Có thể nghỉ không lương vài ngày được không?,Điều kiện nghỉ không lương trong luật lao động?,True,True,115
unchanged,119,unknown,Bao nhiêu tuổi mới được phép đi làm hợp pháp?,Tuổi tối thiểu được phép lao động hợp pháp tại Việt Nam,True,True,143
