question,expected,retrieved,hit,rank,recall,precision
Các trường hợp chấm dứt hợp đồng lao động là gì?,34,"34,45,36",True,1,1.0,0.2
Người lao động có quyền đơn phương chấm dứt hợp đồng không?,35,"35,36",True,1,1.0,0.2
Người lao động phải báo trước bao lâu khi nghỉ việc?,35,"139,109,169,41,32",False,0,0.0,0.0
Khi nào người lao động được nghỉ việc không cần báo trước?,35,"115,139,41,29,113",False,0,0.0,0.0
Người sử dụng lao động được đơn phương chấm dứt hợp đồng khi nào?,36,"36,35,34",True,1,1.0,0.2
Khi nào người sử dụng lao động không được đơn phương chấm dứt hợp đồng?,37,"36,37,35",True,2,1.0,0.2
Đang nghỉ phép thì có bị cho thôi việc không?,37,"46,113,40,156,139",False,0,0.0,0.0
Người lao động được trợ cấp thôi việc khi nào?,46,"46,40,43,47,41",True,1,1.0,0.2
Trợ cấp mất việc làm được quy định như thế nào?,47,"47,42,46,43",True,1,1.0,0.2
Sau khi nghỉ việc công ty phải thanh toán trong bao lâu?,48,"113,48,128,53,154",True,2,1.0,0.2
Kỷ luật lao động là gì?,117,"122,34,127,123,125",False,0,0.0,0.0
Nội quy lao động phải có những nội dung gì?,118,"118,64,21,67,24",True,1,1.0,0.2
Nguyên tắc xử lý kỷ luật lao động là gì?,122,122,True,1,1.0,0.2
Thời hiệu xử lý kỷ luật lao động là bao lâu?,123,"123,126,125,124,122",True,1,1.0,0.2
Có những hình thức kỷ luật lao động nào?,124,"122,123,124,34,125",True,3,1.0,0.2
Khi nào người lao động bị sa thải?,125,"34,137,124,125,177",True,4,1.0,0.2
Có được xử lý kỷ luật lao động đối với người đang nghỉ ốm không?,122,"122,127,126,177",True,1,1.0,0.2
Sa thải là một hình thức kỷ luật lao động đúng không?,124,"34,124,125",True,2,1.0,0.2
Người lao động có quyền tự bào chữa khi bị xử lý kỷ luật không?,122,"122,125,126,127,177",True,1,1.0,0.2
Có được xử lý nhiều hình thức kỷ luật cùng lúc không?,122,"122,124,127,125",True,1,1.0,0.2
Người lao động nước ngoài làm việc tại Việt Nam phải đáp ứng điều kiện gì?,151,"151,152,150",True,1,1.0,0.2
Khi nào người nước ngoài được tuyển dụng vào Việt Nam?,152,"152,151,150",True,1,1.0,0.2
Giấy phép lao động có thời hạn bao lâu?,155,"156,151,162,154,190",False,0,0.0,0.0
Trường hợp nào không cần giấy phép lao động?,154,"156,154,34",True,2,1.0,0.2
Khi nào giấy phép lao động bị thu hồi?,156,"156,54,172",True,1,1.0,0.2
Đối thoại tại nơi làm việc là gì?,63,"63,178,64",True,1,1.0,0.2
Bao lâu phải tổ chức đối thoại tại nơi làm việc?,63,"63,64,178",True,1,1.0,0.2
Thương lượng tập thể là gì?,65,"68,72,75,74,67",False,0,0.0,0.0
Nguyên tắc thương lượng tập thể gồm những gì?,66,"72,70,67,73",False,0,0.0,0.0
Ai có quyền yêu cầu thương lượng tập thể?,68,"68,70,73,74",True,1,1.0,0.2
Thỏa ước lao động tập thể là gì?,75,"75,79,81,82,80",True,1,1.0,0.2
Thỏa ước lao động tập thể có hiệu lực khi nào?,78,"78,79",True,1,1.0,0.2
Thời hạn của thỏa ước lao động tập thể là bao lâu?,83,"78,79,75",False,0,0.0,0.0
Có được sửa đổi thỏa ước lao động tập thể không?,84,"82,79,76,220,80",False,0,0.0,0.0
Khi nào thỏa ước lao động tập thể hết hiệu lực?,86,"78,79,76,86",True,4,1.0,0.2
Tranh chấp lao động là gì?,179,"179,150,180,151,187",True,1,1.0,0.2
Tranh chấp lao động cá nhân là gì?,179,"180,187,190,179",True,4,1.0,0.2
Tranh chấp lao động tập thể là gì?,179,"179,191,195,194",True,1,1.0,0.2
Ai có thẩm quyền hòa giải tranh chấp lao động?,185,"187,191,195,188,184",False,0,0.0,0.0
Khi nào được yêu cầu Tòa án giải quyết tranh chấp lao động?,188,"190,189,194,193",False,0,0.0,0.0
Đình công là gì?,198,"204,200,201,217,207",False,0,0.0,0.0
Ai có quyền tổ chức đình công?,200,"201,203,202,204,178",False,0,0.0,0.0
Trường hợp nào đình công là bất hợp pháp?,204,"204,217",True,1,1.0,0.2
Khi nào được hoãn đình công?,210,"204,210,208,201,202",True,2,1.0,0.2
Người lao động tham gia đình công có bị xử lý không?,207,"217,207,208,201,122",True,2,1.0,0.2
Người lao động có quyền từ chối làm việc khi nào?,6,"10,3,177,29,69",False,0,0.0,0.0
Người sử dụng lao động phải bảo đảm điều gì về an toàn lao động?,6,"134,159,100,105,142",False,0,0.0,0.0
Người lao động phải tuân thủ quy định an toàn như thế nào?,6,"134,100,215,214,122",False,0,0.0,0.0
Có được ép người lao động làm việc khi mất an toàn không?,6,"41,217,134,122,2",False,0,0.0,0.0
Người lao động có quyền rời khỏi nơi làm việc khi nguy hiểm không?,6,"29,137,206,149,10",False,0,0.0,0.0
Làm chưa đủ một năm thì nghỉ phép tính sao?,113,"113,111,109,47",True,1,1.0,0.2
Đi làm ngày lễ thì tiền lương tính thế nào?,98,"98,112,29,90",True,1,1.0,0.2
Công ty bắt thử việc ba tháng có đúng luật không?,25,"25,24,53,27",True,1,1.0,0.2
Muốn nghỉ ngang thì có phải báo trước không?,35,"139,177,113,125,169",False,0,0.0,0.0
Sếp giữ bằng đại học của nhân viên có hợp pháp không?,17,"177,137,14,45,60",False,0,0.0,0.0
Nếu nghỉ việc thì công ty phải thanh toán tiền trong bao lâu?,48,"113,48,128,41,90",True,2,1.0,0.2
Mình có được ký nhiều hợp đồng lao động cùng lúc không?,19,"19,55,168,14,76",True,1,1.0,0.2
Có thể nghỉ không lương vài ngày được không?,115,"115,113,169,112",True,1,1.0,0.2
Doanh nghiệp được sa thải nhân viên trong trường hợp nào?,125,"34,177,25,137,124",False,0,0.0,0.0
Bao nhiêu tuổi mới được phép đi làm hợp pháp?,143,"151,154,3,143,150",True,4,1.0,0.2
