group,index,category,question,embedding_hit,bm25_hit,expected
hit_both,102,definition,"Những loại giấy phép, chứng chỉ hành nghề nào có thể bị tước quyền sử dụng có thời hạn?",True,True,5
hit_both,103,paraphrase,Trong trường hợp nào người vi phạm bị tước cả giấy phép lái xe thay vì trừ điểm khi bị phạt cùng một lần?,True,True,5
hit_both,104,yes-no,"Trong thời gian bị tước quyền sử dụng giấy phép lái xe, cá nhân có thể làm thủ tục cấp mới giấy phép lái xe không?",True,True,5
hit_both,105,definition,Mức phạt tiền từ 400.000 đồng đến 600.000 đồng đối với người điều khiển xe ô tô được áp dụng cho hành vi nào liên quan đến tín hiệu chuyển hướng?,True,True,6
hit_both,106,paraphrase,Hành vi sử dụng còi xe ô tô trong khu đông dân cư từ 22 giờ hôm trước đến 05 giờ sáng hôm sau bị xử phạt ra sao?,True,True,6
hit_both,107,yes-no,Chở người trên buồng lái ô tô quá số lượng quy định có bị phạt tiền từ 600.000 đến 800.000 đồng không?,True,True,6
hit_both,108,definition,Mức phạt đối với người điều khiển xe ô tô chạy quá tốc độ quy định từ 05 km/h đến dưới 10 km/h là bao nhiêu?,True,True,6
hit_both,111,definition,Mức phạt tiền đối với hành vi lùi xe ô tô trên đường một chiều hoặc khu vực cấm lùi xe là bao nhiêu?,True,True,6
hit_both,114,definition,Mức phạt tiền đối với người lái ô tô trong máu có nồng độ cồn chưa vượt quá 50 miligam/100 mililít máu là bao nhiêu?,True,True,6
hit_both,115,paraphrase,Hành vi người điều khiển xe ô tô đi trên vỉa hè bị xử phạt thế nào theo luật?,True,True,6
hit_both,116,yes-no,Lái xe ô tô chạy quá tốc độ quy định trên 35 km/h có bị phạt từ 12.000.000 đến 14.000.000 đồng không?,True,True,6
hit_both,117,definition,"Gây tai nạn giao thông mà không dừng lại, không giữ nguyên hiện trường hoặc không trợ giúp người bị nạn thì người lái ô tô bị phạt bao nhiêu?",True,True,6
hit_both,118,paraphrase,Người lái ô tô không chấp hành hiệu lệnh của đèn tín hiệu giao thông sẽ đối mặt với mức phạt nào?,True,True,6
hit_both,120,definition,Người lái xe ô tô không chấp hành yêu cầu kiểm tra nồng độ cồn của người thi hành công vụ bị phạt bao nhiêu?,True,True,6
hit_both,121,paraphrase,Lái xe ô tô có sử dụng chất ma túy sẽ bị xử phạt hành chính với số tiền bao nhiêu?,True,True,6
hit_both,122,yes-no,Người lái ô tô dùng chân điều khiển vô lăng có bị phạt tiền từ 40.000.000 đồng đến 50.000.000 đồng không?,True,True,6
hit_both,123,definition,"Tái phạm hành vi lạng lách, đánh võng xe ô tô sẽ bị hình phạt bổ sung gì nặng nhất?",True,True,6
hit_both,124,paraphrase,Người lái xe ô tô vi phạm quy định chạy quá tốc độ trên 20km/h bị trừ bao nhiêu điểm GPLX?,True,True,6
hit_both,125,yes-no,Lái xe ô tô không chấp hành yêu cầu kiểm tra ma túy có bị trừ 10 điểm giấy phép lái xe không?,True,True,6
hit_both,126,definition,"Mức phạt tiền cho người điều khiển xe mô tô, xe gắn máy không có tín hiệu khi vượt xe là bao nhiêu?",True,True,7
hit_both,128,yes-no,Việc sử dụng còi xe máy trong khu đông dân cư từ 22 giờ hôm trước đến 05 giờ sáng hôm sau có bị phạt tiền từ 200.000 đến 400.000 đồng không?,True,True,7
hit_both,130,paraphrase,Nếu người lái xe mô tô không đội mũ bảo hiểm hoặc cài quai không đúng quy cách thì bị phạt mức nào?,True,True,7
hit_both,131,yes-no,Điều khiển xe mô tô chạy quá tốc độ từ 05 km/h đến dưới 10 km/h có bị phạt tiền từ 400.000 đồng đến 600.000 đồng không?,True,True,7
hit_both,133,paraphrase,Người lái xe máy dùng tay cầm điện thoại hoặc đeo tai nghe (thiết bị âm thanh) khi đang chạy xe bị phạt bao nhiêu?,True,True,7
hit_both,134,yes-no,Xe máy đi ngược chiều trên đường một chiều có bị phạt từ 4.000.000 đến 6.000.000 đồng không?,True,True,7
hit_both,135,definition,"Mức phạt cao nhất bằng tiền đối với xe mô tô, xe gắn máy vi phạm nồng độ cồn trên 80 mg/100 ml máu là bao nhiêu?",True,True,7
hit_both,136,paraphrase,"Hành vi người đi xe máy buông cả hai tay bị xử phạt tịch thu phương tiện, đúng hay sai?",True,True,7
hit_both,137,yes-no,Người lái xe mô tô vi phạm nồng độ cồn ở mức cao nhất có bị trừ 10 điểm GPLX không?,True,True,7
hit_both,138,definition,Người điều khiển xe máy chuyên dùng đỗ xe trên dốc không chèn bánh bị phạt bao nhiêu?,True,True,8
hit_both,139,paraphrase,Lái xe máy chuyên dùng trong hầm đường bộ mà không sử dụng đèn chiếu sáng gần bị xử phạt như thế nào?,True,True,8
hit_both,140,yes-no,Người lái xe máy chuyên dùng gây tai nạn giao thông mà không dừng lại có bị phạt từ 2.000.000 đến 3.000.000 đồng không?,True,True,8
hit_both,141,definition,Người đi xe đạp vượt bên phải trong trường hợp không được phép bị phạt bao nhiêu tiền?,True,True,9
hit_both,142,paraphrase,"Mức phạt tiền cho việc sử dụng điện thoại khi đang điều khiển xe đạp, xe đạp máy là bao nhiêu?",True,True,9
hit_both,143,yes-no,"Người đi xe đạp lạng lách, đánh võng trên đường có bị phạt tiền từ 300.000 đến 400.000 đồng không?",True,True,9
hit_both,144,definition,Mức phạt đối với người đi xe đạp đi vào đường cao tốc là bao nhiêu?,True,True,9
hit_both,145,paraphrase,Người đi bộ đi qua đường không đúng nơi quy định sẽ chịu mức phạt như thế nào?,True,True,10
hit_both,146,yes-no,Người đi bộ mang vác vật cồng kềnh gây cản trở giao thông có bị phạt từ 400.000 đến 600.000 đồng không?,True,True,10
hit_both,147,definition,Hành vi để vật nuôi đi trên đường bộ không bảo đảm an toàn cho giao thông bị phạt bao nhiêu tiền?,True,True,11
hit_both,148,paraphrase,"Người bán hàng rong trên lòng đường, vỉa hè các tuyến phố cấm bị phạt mức nào?",True,True,12
hit_both,149,yes-no,"Hành vi sử dụng trái phép lòng đường, vỉa hè để kinh doanh dịch vụ ăn uống có bị phạt tiền từ 2.000.000 đến 3.000.000 đồng đối với cá nhân không?",True,True,12
hit_both,150,definition,Mức phạt đối với hành vi điều khiển xe ô tô không có kính chắn gió (đối với xe có thiết kế) là bao nhiêu?,True,True,13
hit_both,151,paraphrase,Lái xe ô tô không có còi hoặc còi không có tác dụng bị phạt bao nhiêu?,True,True,13
hit_both,152,yes-no,Điều khiển ô tô không có bộ phận giảm thanh có bị phạt tiền từ 400.000 đến 600.000 đồng không?,True,True,13
hit_both,153,definition,Hành vi ô tô kinh doanh vận tải hành khách tự ý lắp thêm ghế bị phạt thế nào?,True,True,13
hit_both,154,paraphrase,Điều khiển xe ô tô không có chứng nhận đăng ký xe bị xử phạt ra sao?,True,True,13
hit_both,155,yes-no,Dán phù hiệu cơ quan nhà nước lên ô tô trái phép có bị phạt từ 2.000.000 đến 3.000.000 đồng không?,True,True,13
hit_both,156,definition,Giấy chứng nhận kiểm định xe ô tô hết hạn dưới 01 tháng bị phạt mức nào?,True,True,13
hit_both,157,paraphrase,Hệ thống hãm của xe ô tô không có tác dụng bị phạt bao nhiêu?,True,True,13
hit_both,158,yes-no,Tem kiểm định hết hạn từ 01 tháng trở lên đối với xe ô tô bị phạt từ 4.000.000 đến 6.000.000 đồng đúng không?,True,True,13
hit_both,159,definition,Điều khiển xe ô tô không gắn biển số bị phạt bao nhiêu?,True,True,13
hit_both,160,paraphrase,Lái ô tô gắn biển số không do cơ quan có thẩm quyền cấp bị xử lý phạt tiền thế nào?,True,True,13
hit_both,161,yes-no,Ô tô quá niên hạn sử dụng tham gia giao thông có bị tịch thu phương tiện không?,True,True,13
hit_both,162,definition,Hành vi vi phạm quy định tại Khoản 3 Điều 13 bị trừ mấy điểm giấy phép lái xe?,True,True,13
hit_both,164,yes-no,Xe máy không có đèn tín hiệu bị phạt 400.000 đến 600.000 đồng đúng không?,True,True,14
hit_both,167,yes-no,Lái xe máy có dán che lấp biển số bị phạt từ 4.000.000 đến 6.000.000 đồng phải không?,True,True,14
hit_both,168,definition,Hành vi vi phạm Khoản 3 Điều 14 bị trừ mấy điểm giấy phép lái xe?,True,True,14
hit_both,169,paraphrase,Đi xe thô sơ không có bộ phận phát âm thanh cảnh báo bị phạt bao nhiêu?,True,True,15
hit_both,170,yes-no,Xe thô sơ không có hệ thống hãm (phanh) bị phạt từ 300.000 đến 400.000 đồng phải không?,True,True,15
hit_both,171,definition,Xe máy chuyên dùng không gắn biển số bị phạt thế nào?,True,True,16
hit_both,173,yes-no,"Điều khiển xe máy chuyên dùng sản xuất, lắp ráp trái quy định tham gia giao thông có bị tịch thu phương tiện không?",True,True,16
hit_both,174,definition,Lái xe ô tô không đáp ứng yêu cầu vệ sinh lưu thông trong đô thị bị phạt bao nhiêu?,True,True,17
hit_both,175,paraphrase,Chở đất đá làm rơi vãi xuống đường bộ bị phạt thế nào?,True,True,17
hit_both,176,yes-no,Đổ trái phép phế thải ra phần đất dành cho đường bộ ngoài đô thị bị phạt từ 4-6 triệu đồng đúng không?,True,True,17
hit_both,177,definition,"Đổ trái phép rác, phế thải ra đường phố bị phạt mức tiền bao nhiêu?",True,True,17
hit_both,178,paraphrase,Người điều khiển xe ô tô đổ trái phép phế thải ra đường phố bị trừ bao nhiêu điểm GPLX?,True,True,17
hit_both,179,yes-no,Người từ đủ 14 tuổi đến dưới 16 tuổi điều khiển xe mô tô có bị phạt cảnh cáo không?,True,True,18
hit_both,180,definition,Người lái xe mô tô kinh doanh vận tải không mang bảo hiểm trách nhiệm dân sự bị phạt bao nhiêu?,True,True,18
hit_both,182,yes-no,Người 16 tuổi đến dưới 18 tuổi lái xe mô tô trên 50cm3 bị phạt từ 400.000 đến 600.000 đồng đúng không?,True,True,18
hit_both,183,definition,Lái xe mô tô dưới 125cm3 không có GPLX bị phạt bao nhiêu?,True,True,18
hit_both,184,paraphrase,Người chưa đủ 18 tuổi lái xe ô tô sẽ chịu mức phạt tiền bao nhiêu?,True,True,18
hit_both,185,yes-no,Lái xe mô tô trên 125cm3 không có GPLX bị phạt 6-8 triệu đồng phải không?,True,True,18
hit_both,187,paraphrase,Lái xe ô tô khi GPLX đã hết hạn từ 01 năm trở lên chịu mức phạt ra sao?,True,True,18
hit_both,189,definition,Người điều khiển xe máy chuyên dùng không có chứng nhận bảo hiểm bắt buộc bị phạt bao nhiêu?,True,True,19
hit_both,190,paraphrase,Lái xe máy chuyên dùng không có bằng (hoặc chứng chỉ) điều khiển bị phạt tiền như thế nào?,True,True,19
hit_both,191,yes-no,"Không hướng dẫn hành khách đứng, nằm, ngồi đúng vị trí quy định trên xe ô tô chở khách có bị phạt không?",True,True,20
hit_both,192,definition,Ô tô chở khách (trừ xe buýt) chở quá số người quy định bị phạt bao nhiêu trên mỗi người vượt quá?,True,True,20
hit_both,193,paraphrase,Xe khách không đóng cửa lên xuống khi đang chạy bị xử lý thế nào?,True,True,20
hit_both,194,yes-no,Xe khách kinh doanh chạy tuyến có cự ly lớn hơn 300km chở quá số người quy định có bị phạt 1-2 triệu trên 1 người không?,True,True,20
hit_both,195,definition,"Để người lên, xuống xe khi xe đang chạy bị phạt bao nhiêu?",True,True,20
hit_both,196,paraphrase,"Đón, trả hành khách không đúng nơi quy định trên những tuyến đường đã xác định nơi đón, trả khách bị phạt tiền bao nhiêu?",True,True,20
hit_both,197,yes-no,Chở người trên mui xe khách có bị phạt từ 3.000.000 đến 5.000.000 đồng không?,True,True,20
hit_both,198,definition,Người điều khiển xe chở khách không có hoặc không gắn phù hiệu theo quy định bị phạt mức nào?,True,True,20
hit_both,199,paraphrase,"Đón, trả hành khách trên đường cao tốc bị xử lý phạt bao nhiêu?",True,True,20
hit_both,200,yes-no,Đón trả khách trên đường cao tốc có bị trừ 06 điểm giấy phép lái xe không?,True,True,20
hit_both,201,definition,"Điều khiển xe tải không chốt, đóng cố định cửa sau khi đang chạy bị phạt bao nhiêu?",True,True,21
hit_both,202,paraphrase,Xe tải chở hàng vượt tải trọng cho phép từ trên 10% đến 30% bị phạt như thế nào?,True,True,21
hit_both,203,yes-no,Điều khiển xe chở người trên mui xe tải có bị phạt 800.000 đến 1.000.000 đồng không?,True,True,21
hit_both,204,definition,Điều khiển xe ô tô đầu kéo không lắp thiết bị ghi nhận hình ảnh người lái xe bị phạt bao nhiêu?,True,True,21
hit_both,205,paraphrase,Điều khiển xe tải chở hàng vượt quá chiều cao cho phép chịu mức phạt tiền bao nhiêu?,True,True,21
hit_both,208,paraphrase,Điều khiển xe chở hàng vượt trọng tải trên 100% đến 150% bị phạt bao nhiêu?,True,True,21
hit_both,209,yes-no,"Người điều khiển xe tải nhận, trả hàng trên đường cao tốc bị phạt 10.000.000 đến 12.000.000 đồng đúng không?",True,True,21
hit_both,210,definition,"Mức phạt đối với hành vi vận chuyển hàng hóa là máy móc, thiết bị kỹ thuật dạng trụ không chằng buộc theo quy định là bao nhiêu?",True,True,21
hit_both,211,paraphrase,Hành vi chở công-ten-nơ không sử dụng cơ cấu khóa hãm mà gây tai nạn giao thông sẽ bị xử phạt như thế nào?,True,True,21
hit_both,212,yes-no,Người điều khiển xe tải chở hàng vượt trọng tải trên 150% có bị trừ 10 điểm giấy phép lái xe không?,True,True,21
